,Rnd,Player,Age,Rookie Year,avg_depth_of_target,avoided_tackles,caught_percent,grades_offense,longest,receptions,routes,targeted_qb_rating,targets,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,ypt,Rookie year,"1,000 Yard Seasons"
121,2.0,Michael Thomas,23.0,2016,8.1,20.0,77.3,86.4,46.0,92.0,556.0,117.5,119.0,1137.0,478.0,5.2,12.4,2.04,9.554621848739496,2016,4
122,2.0,Tyler Boyd,21.0,2016,9.0,2.0,71.1,65.1,30.0,54.0,481.0,82.3,76.0,603.0,213.0,3.9,11.2,1.25,7.934210526315789,2016,2
123,3.0,Braxton Miller,23.0,2016,7.6,3.0,55.6,50.8,12.0,15.0,231.0,45.1,27.0,99.0,52.0,3.5,6.6,0.43,3.6666666666666665,2016,0
124,3.0,Leonte Carroo,22.0,2016,18.2,0.0,50.0,54.2,15.0,3.0,67.0,63.9,6.0,29.0,14.0,4.7,9.7,0.43,4.833333333333333,2016,0
125,4.0,Chris Moore,23.0,2016,8.9,1.0,43.8,50.3,13.0,7.0,94.0,51.0,16.0,46.0,17.0,2.4,6.6,0.49,2.875,2016,0
126,4.0,Malcolm Mitchell,24.0,2016,10.6,6.0,71.1,67.9,56.0,32.0,308.0,118.8,45.0,401.0,162.0,5.1,12.5,1.3,8.911111111111111,2016,0
127,4.0,Ricardo Louis,22.0,2016,10.8,4.0,56.3,57.9,42.0,18.0,210.0,62.6,32.0,205.0,93.0,5.2,11.4,0.98,6.40625,2016,0
128,4.0,Pharoh Cooper,21.0,2016,4.1,3.0,73.7,52.8,23.0,14.0,130.0,47.1,19.0,106.0,72.0,5.1,7.6,0.82,5.578947368421052,2016,0
129,5.0,Tajae Sharpe,21.0,2016,13.4,2.0,53.2,60.8,34.0,41.0,483.0,77.9,77.0,522.0,88.0,2.1,12.7,1.08,6.779220779220779,2016,0
130,5.0,Jordan Payton,23.0,2016,14.0,0.0,50.0,53.4,3.0,1.0,23.0,56.3,2.0,3.0,0.0,0.0,3.0,0.13,1.5,2016,0
131,5.0,Trevor Davis,23.0,2016,7.7,0.0,50.0,55.5,9.0,3.0,58.0,100.0,6.0,24.0,9.0,3.0,8.0,0.41,4.0,2016,0
